Namn,Postadress,Sprit,Vin,Starköl,AJA,ALP,Serveringstider
Sundsgårdens Folkhögskola,Örbyvägen 10,,,,,,11:00—01:00 11:00—01:00
Suriyo Thai,Pålsjögatan 8,,,,,,11:00—21:00 11:00—21:30
Taco Bar Helsingborg,Södergatan 11,,,,,,11:00—01:00 11:00—00:30
Taj Mahal,Drottninggatan 24,,,,,,11:00—01:00 11:00—00:00
Takami Sushi,Södra Kyrkogatan 20,,,,,,11:00—23:00 11:00—22:00
Tapasbar La Venta,Mariagatan 8,,,,,,11:00—01:00 11:00—00:00
Telegrafen,Norra Storgatan 14,,,,,,11:00—02:00 11:00—23:00
Teo´s Kök & Bar,Södergatan 60,,,,,,11:00—01:00 11:00—00:30
Thai Corner,Bruksgatan 34,,,,,,11:00—01:00
Thaikrogen,Kurirgatan 1,,,,,,11:00—01:00 11:00—00:30
The Filthy Fisherman,Kolmätaregränden 8,,,,,,11:00—01:00 11:00—00:30
The South Indian,S:t Jörgens plats 8,,,,,,11:00—23:00 11:00—01:00
The Tivoli,Köpenhamnskajen 1,,,,,,11:00—03:00 11:00—01:00 11:00—01:00 03:00—05:00
The Vault Hotel,Stortorget 20,,,,,,11:00—01:00 11:00—02:00 11:00—00:00
Timjan & Tång,Kajpromenaden 6,,,,,,11:00—01:00 11:30—23:30
Torget,Sundstorget 7,,,,,,11:00—01:00 11:00—00:30
Trappan 1899,Slottshagsgatan 1,,,,,,11:00—01:00
Trivas på Råå,Rååvägen 20,,,,,,11:00—01:00 11:00—01:00 11:00—00:30
Troppan,Parapeten 1,,,,,,11:00—01:00
Tågvagnen,Gröningen,,,,,,11:00—00:00 11:00—01:00
Utposten,"Stortorget 17, Box 1121",,,,,,11:00—03:00 11:00—01:00
Utsikten,Kajpromenaden 14,,,,,,11:00—23:00
Vagnhall 16,Gåsebäcksvägen 2,,,,,,11:00—23:00 11:00—01:00 11:00—00:30 23:00—03:00 01:00—03:00 23:00—00:30
Vasatorp Golfrestaurang,Vasatorpallén 54,,,,,,10:00—01:00 10:00—01:00 11:00—01:00
Waynes Coffee,Rådhustorget 12,,,,,,11:00—20:00 11:00—20:00
Ved By Maria,Södra kyrkogatan 22,,,,,,11:00—01:00 11:00—00:00 11:00—23:00 11:00—22:00
Vegeriet,Järnvägsgatan 25,,,,,,11:00—01:00 11:00—00:00
Venezia Pizzeria,Centralgatan 10,,,,,,11:00—01:00 11:00—00:30
Viking bar,Gasverksgatan 13,,,,,,11:00—02:00 11:00—00:30 11:00—00:30
Villa Thalassa,Dag Hamarskjölds Väg 117,,,,,,11:00—03:00 11:00—01:00
Wok Express,Södra Brunnsvägen 57,,,,,,11:00—01:00 11:00—21:00
YA-HA Kök & Bar,Kajpromenaden 2,,,,,,11:00—01:00 11:00—23:30
Yammi Söder,Södergatan 30,,,,,,11:00—01:00 11:00—00:30
Yazhou,Gasverksgatan 15,,,,,,11:00—02:00 11:00—00:30
Zoom Bar & Restaurang,Norra Kyrkogatan 15,,,,,,10:00—01:00 10:00—00:30 11:00—01:00 01:00—03:00 03:00—05:00
Zushi Helsingborg,Karlsgatan 1A,,,,,,11:00—01:00 11:00—00:00
Zushi Ocean,Oceankajen 2,,,,,,11:00—00:00 11:00—01:00 11:00—00:00
Ålgrändens Ost & Deli,Ålgränden 6,,,,,,12:00—00:00 12:00—00:00
Åliven Helsingborg,Kullavägen 57,,,,,,11:00—01:00
Ödåkra Brygghus,Fabriksgatan 2,,,,,,12:00—22:00 12:00—22:00
